id,input_stage,geometry_stage,refinement_stage,cleanup_stage,status,runnable_now,why,rank,score,priority,rationale
sync_keyframes-instantsplat_init-gsplat_2k-difix_distill,sync_keyframes,instantsplat_init,gsplat_2k,difix_distill,external,False,valid,31,79,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
sync_keyframes-vggt_geometry-fastgs_100s-difix_inference,sync_keyframes,vggt_geometry,fastgs_100s,difix_inference,external,False,valid,32,79,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-feedforward_gs-fastgs_100s-none,fixed_rig_sync,feedforward_gs,fastgs_100s,none,planned,False,valid,33,79,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-instantsplat_init-fastgs_100s-none,fixed_rig_sync,instantsplat_init,fastgs_100s,none,planned,False,valid,34,79,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-vggt_geometry-gsplat_2k-none,fixed_rig_sync,vggt_geometry,gsplat_2k,none,planned,False,valid,35,79,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; keeps evaluation faithful; feed-forward model gets structured multi-view input
posed_rgbd_dataset-posed_depth_init-fastgs_100s-none,posed_rgbd_dataset,posed_depth_init,fastgs_100s,none,planned,False,valid,36,79,high,planned readiness; uses posed/depth data; uses known pose/depth initializer; promising training accelerator; keeps evaluation faithful; dataset pose/depth path is direct
sync_keyframes-feedforward_gs-fastgs_100s-difix_inference,sync_keyframes,feedforward_gs,fastgs_100s,difix_inference,external,False,valid,37,78,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion view cleanup; feed-forward model gets structured multi-view input
sync_keyframes-instantsplat_init-fastgs_100s-difix_inference,sync_keyframes,instantsplat_init,fastgs_100s,difix_inference,external,False,valid,38,78,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion view cleanup; feed-forward model gets structured multi-view input
sync_keyframes-vggt_geometry-fastgs_100s-difix_distill,sync_keyframes,vggt_geometry,fastgs_100s,difix_distill,external,False,valid,39,78,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion distillation; feed-forward model gets structured multi-view input; distillation adds another training loop
sync_keyframes-vggt_geometry-gsplat_1k-none,sync_keyframes,vggt_geometry,gsplat_1k,none,external,False,valid,40,78,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-vggt_geometry-gsplat_2k-difix_inference,sync_keyframes,vggt_geometry,gsplat_2k,difix_inference,external,False,valid,41,78,high,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-colmap_pairs-fastgs_100s-none,fixed_rig_sync,colmap_pairs,fastgs_100s,none,planned,False,valid,42,78,high,planned readiness; uses synchronized multi-view structure; reduces matching work; promising training accelerator; keeps evaluation faithful
fixed_rig_sync-feedforward_gs-gsplat_2k-none,fixed_rig_sync,feedforward_gs,gsplat_2k,none,planned,False,valid,43,78,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-instantsplat_init-gsplat_2k-none,fixed_rig_sync,instantsplat_init,gsplat_2k,none,planned,False,valid,44,78,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-vggt_geometry-gsplat_2k-difix_distill,fixed_rig_sync,vggt_geometry,gsplat_2k,difix_distill,planned,False,valid,45,78,high,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
posed_rgbd_dataset-posed_depth_init-gsplat_2k-none,posed_rgbd_dataset,posed_depth_init,gsplat_2k,none,planned,False,valid,46,78,high,planned readiness; uses posed/depth data; uses known pose/depth initializer; preview-quality refinement budget; keeps evaluation faithful; dataset pose/depth path is direct
sync_keyframes-colmap_auto-gsplat_1k-none,sync_keyframes,colmap_auto,gsplat_1k,none,partial,False,valid,47,77,medium,partial readiness; uses synchronized multi-view structure; fastest current refinement; keeps evaluation faithful
sync_keyframes-feedforward_gs-fastgs_100s-difix_distill,sync_keyframes,feedforward_gs,fastgs_100s,difix_distill,external,False,valid,48,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion distillation; feed-forward model gets structured multi-view input; distillation adds another training loop
sync_keyframes-feedforward_gs-gsplat_1k-none,sync_keyframes,feedforward_gs,gsplat_1k,none,external,False,valid,49,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-feedforward_gs-gsplat_2k-difix_inference,sync_keyframes,feedforward_gs,gsplat_2k,difix_inference,external,False,valid,50,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion view cleanup; feed-forward model gets structured multi-view input
sync_keyframes-instantsplat_init-fastgs_100s-difix_distill,sync_keyframes,instantsplat_init,fastgs_100s,difix_distill,external,False,valid,51,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion distillation; feed-forward model gets structured multi-view input; distillation adds another training loop
sync_keyframes-instantsplat_init-gsplat_1k-none,sync_keyframes,instantsplat_init,gsplat_1k,none,external,False,valid,52,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input
sync_keyframes-instantsplat_init-gsplat_2k-difix_inference,sync_keyframes,instantsplat_init,gsplat_2k,difix_inference,external,False,valid,53,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion view cleanup; feed-forward model gets structured multi-view input
sync_keyframes-vggt_geometry-gsplat_1k-difix_distill,sync_keyframes,vggt_geometry,gsplat_1k,difix_distill,external,False,valid,54,77,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-colmap_pairs-gsplat_2k-none,fixed_rig_sync,colmap_pairs,gsplat_2k,none,planned,False,valid,55,77,medium,planned readiness; uses synchronized multi-view structure; reduces matching work; preview-quality refinement budget; keeps evaluation faithful
fixed_rig_sync-feedforward_gs-gsplat_2k-difix_distill,fixed_rig_sync,feedforward_gs,gsplat_2k,difix_distill,planned,False,valid,56,77,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-instantsplat_init-gsplat_2k-difix_distill,fixed_rig_sync,instantsplat_init,gsplat_2k,difix_distill,planned,False,valid,57,77,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-vggt_geometry-fastgs_100s-difix_inference,fixed_rig_sync,vggt_geometry,fastgs_100s,difix_inference,planned,False,valid,58,77,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion view cleanup; feed-forward model gets structured multi-view input
posed_rgbd_dataset-posed_depth_init-gsplat_2k-difix_distill,posed_rgbd_dataset,posed_depth_init,gsplat_2k,difix_distill,planned,False,valid,59,77,medium,planned readiness; uses posed/depth data; uses known pose/depth initializer; preview-quality refinement budget; tests diffusion distillation; dataset pose/depth path is direct; cleanup is most useful after quick coarse splats; distillation adds another training loop
sync_keyframes-feedforward_gs-gsplat_1k-difix_distill,sync_keyframes,feedforward_gs,gsplat_1k,difix_distill,external,False,valid,60,76,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
sync_keyframes-feedforward_gs-none-none,sync_keyframes,feedforward_gs,none,none,external,False,valid,61,76,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; skips refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input; tests direct Gaussian output
sync_keyframes-instantsplat_init-gsplat_1k-difix_distill,sync_keyframes,instantsplat_init,gsplat_1k,difix_distill,external,False,valid,62,76,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
sync_keyframes-instantsplat_init-none-none,sync_keyframes,instantsplat_init,none,none,external,False,valid,63,76,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; skips refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input; tests direct Gaussian output
fixed_rig_sync-colmap_pairs-gsplat_2k-difix_distill,fixed_rig_sync,colmap_pairs,gsplat_2k,difix_distill,planned,False,valid,64,76,medium,planned readiness; uses synchronized multi-view structure; reduces matching work; preview-quality refinement budget; tests diffusion distillation; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-feedforward_gs-fastgs_100s-difix_inference,fixed_rig_sync,feedforward_gs,fastgs_100s,difix_inference,planned,False,valid,65,76,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-instantsplat_init-fastgs_100s-difix_inference,fixed_rig_sync,instantsplat_init,fastgs_100s,difix_inference,planned,False,valid,66,76,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-vggt_geometry-fastgs_100s-difix_distill,fixed_rig_sync,vggt_geometry,fastgs_100s,difix_distill,planned,False,valid,67,76,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion distillation; feed-forward model gets structured multi-view input; distillation adds another training loop
fixed_rig_sync-vggt_geometry-gsplat_1k-none,fixed_rig_sync,vggt_geometry,gsplat_1k,none,planned,False,valid,68,76,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-vggt_geometry-gsplat_2k-difix_inference,fixed_rig_sync,vggt_geometry,gsplat_2k,difix_inference,planned,False,valid,69,76,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion view cleanup; feed-forward model gets structured multi-view input
posed_rgbd_dataset-posed_depth_init-fastgs_100s-difix_inference,posed_rgbd_dataset,posed_depth_init,fastgs_100s,difix_inference,planned,False,valid,70,76,medium,planned readiness; uses posed/depth data; uses known pose/depth initializer; promising training accelerator; tests diffusion view cleanup; dataset pose/depth path is direct
sync_keyframes-vggt_geometry-gsplat_1k-difix_inference,sync_keyframes,vggt_geometry,gsplat_1k,difix_inference,external,False,valid,71,75,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-colmap_pairs-fastgs_100s-difix_inference,fixed_rig_sync,colmap_pairs,fastgs_100s,difix_inference,planned,False,valid,72,75,medium,planned readiness; uses synchronized multi-view structure; reduces matching work; promising training accelerator; tests diffusion view cleanup
fixed_rig_sync-feedforward_gs-fastgs_100s-difix_distill,fixed_rig_sync,feedforward_gs,fastgs_100s,difix_distill,planned,False,valid,73,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion distillation; feed-forward model gets structured multi-view input; distillation adds another training loop
fixed_rig_sync-feedforward_gs-gsplat_1k-none,fixed_rig_sync,feedforward_gs,gsplat_1k,none,planned,False,valid,74,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-feedforward_gs-gsplat_2k-difix_inference,fixed_rig_sync,feedforward_gs,gsplat_2k,difix_inference,planned,False,valid,75,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-instantsplat_init-fastgs_100s-difix_distill,fixed_rig_sync,instantsplat_init,fastgs_100s,difix_distill,planned,False,valid,76,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; promising training accelerator; tests diffusion distillation; feed-forward model gets structured multi-view input; distillation adds another training loop
fixed_rig_sync-instantsplat_init-gsplat_1k-none,fixed_rig_sync,instantsplat_init,gsplat_1k,none,planned,False,valid,77,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-instantsplat_init-gsplat_2k-difix_inference,fixed_rig_sync,instantsplat_init,gsplat_2k,difix_inference,planned,False,valid,78,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; preview-quality refinement budget; tests diffusion view cleanup; feed-forward model gets structured multi-view input
fixed_rig_sync-vggt_geometry-gsplat_1k-difix_distill,fixed_rig_sync,vggt_geometry,gsplat_1k,difix_distill,planned,False,valid,79,75,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
posed_rgbd_dataset-posed_depth_init-fastgs_100s-difix_distill,posed_rgbd_dataset,posed_depth_init,fastgs_100s,difix_distill,planned,False,valid,80,75,medium,planned readiness; uses posed/depth data; uses known pose/depth initializer; promising training accelerator; tests diffusion distillation; dataset pose/depth path is direct; distillation adds another training loop
posed_rgbd_dataset-posed_depth_init-gsplat_1k-none,posed_rgbd_dataset,posed_depth_init,gsplat_1k,none,planned,False,valid,81,75,medium,planned readiness; uses posed/depth data; uses known pose/depth initializer; fastest current refinement; keeps evaluation faithful; dataset pose/depth path is direct
posed_rgbd_dataset-posed_depth_init-gsplat_2k-difix_inference,posed_rgbd_dataset,posed_depth_init,gsplat_2k,difix_inference,planned,False,valid,82,75,medium,planned readiness; uses posed/depth data; uses known pose/depth initializer; preview-quality refinement budget; tests diffusion view cleanup; dataset pose/depth path is direct
sync_keyframes-colmap_pairs-gsplat_7k-difix_inference,sync_keyframes,colmap_pairs,gsplat_7k,difix_inference,external,False,valid,83,74,medium,external readiness; uses synchronized multi-view structure; reduces matching work; slower quality baseline; tests diffusion view cleanup; natural first multi-view experiment; slow training plus cleanup
sync_keyframes-feedforward_gs-gsplat_1k-difix_inference,sync_keyframes,feedforward_gs,gsplat_1k,difix_inference,external,False,valid,84,74,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion view cleanup; feed-forward model gets structured multi-view input
sync_keyframes-instantsplat_init-gsplat_1k-difix_inference,sync_keyframes,instantsplat_init,gsplat_1k,difix_inference,external,False,valid,85,74,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion view cleanup; feed-forward model gets structured multi-view input
sync_keyframes-vggt_geometry-gsplat_7k-none,sync_keyframes,vggt_geometry,gsplat_7k,none,external,False,valid,86,74,medium,external readiness; uses synchronized multi-view structure; tests feed-forward geometry; slower quality baseline; keeps evaluation faithful; feed-forward model gets structured multi-view input
fixed_rig_sync-colmap_pairs-fastgs_100s-difix_distill,fixed_rig_sync,colmap_pairs,fastgs_100s,difix_distill,planned,False,valid,87,74,medium,planned readiness; uses synchronized multi-view structure; reduces matching work; promising training accelerator; tests diffusion distillation; distillation adds another training loop
fixed_rig_sync-colmap_pairs-gsplat_1k-none,fixed_rig_sync,colmap_pairs,gsplat_1k,none,planned,False,valid,88,74,medium,planned readiness; uses synchronized multi-view structure; reduces matching work; fastest current refinement; keeps evaluation faithful
fixed_rig_sync-colmap_pairs-gsplat_2k-difix_inference,fixed_rig_sync,colmap_pairs,gsplat_2k,difix_inference,planned,False,valid,89,74,medium,planned readiness; uses synchronized multi-view structure; reduces matching work; preview-quality refinement budget; tests diffusion view cleanup
fixed_rig_sync-feedforward_gs-gsplat_1k-difix_distill,fixed_rig_sync,feedforward_gs,gsplat_1k,difix_distill,planned,False,valid,90,74,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-feedforward_gs-none-none,fixed_rig_sync,feedforward_gs,none,none,planned,False,valid,91,74,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; skips refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input; tests direct Gaussian output
fixed_rig_sync-fixed_rig_trajectory-gsplat_7k-difix_inference,fixed_rig_sync,fixed_rig_trajectory,gsplat_7k,difix_inference,planned,False,valid,92,74,medium,planned readiness; uses synchronized multi-view structure; best fit for fixed cameras; slower quality baseline; tests diffusion view cleanup; highest fixed-rig upside; slow training plus cleanup
fixed_rig_sync-instantsplat_init-gsplat_1k-difix_distill,fixed_rig_sync,instantsplat_init,gsplat_1k,difix_distill,planned,False,valid,93,74,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; fastest current refinement; tests diffusion distillation; feed-forward model gets structured multi-view input; cleanup is most useful after quick coarse splats; distillation adds another training loop
fixed_rig_sync-instantsplat_init-none-none,fixed_rig_sync,instantsplat_init,none,none,planned,False,valid,94,74,medium,planned readiness; uses synchronized multi-view structure; tests feed-forward geometry; skips refinement; keeps evaluation faithful; feed-forward model gets structured multi-view input; tests direct Gaussian output
posed_rgbd_dataset-posed_depth_init-gsplat_1k-difix_distill,posed_rgbd_dataset,posed_depth_init,gsplat_1k,difix_distill,planned,False,valid,95,74,medium,planned readiness; uses posed/depth data; uses known pose/depth initializer; fastest current refinement; tests diffusion distillation; dataset pose/depth path is direct; cleanup is most useful after quick coarse splats; distillation adds another training loop
classic_topk-colmap_auto-gsplat_2k-none,classic_topk,colmap_auto,gsplat_2k,none,implemented,True,valid,96,73,medium,implemented readiness; baseline input path; preview-quality refinement budget; keeps evaluation faithful; least multi-view-specific
sync_keyframes-colmap_auto-gsplat_7k-none,sync_keyframes,colmap_auto,gsplat_7k,none,partial,False,valid,97,73,medium,partial readiness; uses synchronized multi-view structure; slower quality baseline; keeps evaluation faithful
sync_keyframes-colmap_pairs-gsplat_7k-difix_distill,sync_keyframes,colmap_pairs,gsplat_7k,difix_distill,external,False,valid,98,73,medium,external readiness; uses synchronized multi-view structure; reduces matching work; slower quality baseline; tests diffusion distillation; natural first multi-view experiment; slow training plus cleanup; distillation adds another training loop
